text,source
ur new update on consoles like ps5 broke the spotify because i will play manually play the last song i have on my list and it will do the one before that idk if its the fact that the ps5 and phone updates are different because they are linked to the same account.,PlayStore
it is very bad app kyunki ismein ab gana chalane ke liye bhi paise mang raha hai Sabse bekar app hai,PlayStore
i am a premium user but my friends who are not paying for the premium are not even allowed to jam together and after removal of the 5 person family plan the appeal for premium is dying fast music should be an activity to bring people together and to enjoy together not dj alone atleast basic features like queuing music and selecting what you wanna play should be free along with jamming capabilities so we could share music everyone and not just the premium buyers What a let down !!!,PlayStore
"I could you not, I get 2 minutes off of music cuz the ads. Theres like 4 ads every 2 songs. Like why would i watch ads when i could just listen to music and give this a proper 5 star rating?",PlayStore
when music is playing nothing there isn't a notification for it nor on my lock screen to skip,PlayStore
so bad or worst after few days it asks for premium and you can not play song of your choice even if you make playlist😠😡🤬you would face several long ads even in a 2min song,PlayStore
"Spotify used to be a very good app, but now its just rubbish",PlayStore
"It's crazy how much the app degraded. You have a limited number of skips, advertisements every few minutes and now you can't even play the song you want or your songs in an order you want without premium. Better to avoid the app and use something like amazon music before your taste profile is already set.",PlayStore
keep shutting down not responding update fixed the bug issues,PlayStore
"Please stop telling me to update to your new widget when it periodically goes offline and I can't even do anything to open it from your new widget. I have to go to my app and open it, then what's the point of using a widget to open up Spotify? Give me back the option to use the old widget, or fix your new one.",PlayStore
it's to much ads,PlayStore
stop trying to make me use the new widget! The new widget sucks.,PlayStore
Wants me to get premium for everything I was listening to music and I chose a song and it said to buy premium for listen to any song anywhere remove this feature it's just gonna make more people uninstall the app,PlayStore
your new widget never loads and it won't let me use the old one,PlayStore
"BRING BACK THE OLD WIDGET RAAAAAH! THE NEW ONE F SUCKS. The previous widget won me over with its simplicity. The new version adds features, but in practice it's clunky and less useful. My listening time fell from 1,300 to 600 minutes because I end up bypassing the widget entirely and going straight to the app. The biggest annoyance? The old widget constantly nags me to switch to the new one",PlayStore
"so bad, to listen to a music we need to watch full 2 ads first, its super annoying. I was there to listen to music and not wasting my time on the ads, pls fix your ads problem, spoitify.",PlayStore
"Used to be good, I've had Premium for years. With the recent updates, the app crashes so much I can barely use it. All of my local files have disappeared completely and the music glitches often.",PlayStore
"I have been using Spotify for several years now and I have come to the realization that it is another victim of shitification. It was a beloved music player once, but now all it does is lag. It is incredibly buggy and doesn't work half the time. I have to restart the app over and over and over again just to get my liked songs, the songs that are downloaded to my phone, to load. I don't understand why I have to wait for downloaded songs to load if they are on my device. Pathetic",PlayStore
a billionaire company doesn't need to be giving 4 ads every two songs,PlayStore
the free version is horrible I am unable to pay for premium features and I have to deal with the free version you only get 6 skips an hour you can't change the queue you can't go back to a previous song! ...at least give us the ability to change the queue + go back to the song that just played at least the ads are bearable for the most part tho edit: WHAT THE HELL I FOUND OUT THAT YOU CAN'T EVEN CHANGE THE ORDER OF THINGS YOU PUT IN THE QUEUE AT LEAST LET US CHANGE THE ORDER OF WHAT WE PUT IN 🙏,PlayStore
